station,valid,lon,lat,tmpf
GGE,2022-01-01 00:15,-79.3196,33.3117,68.00
CDN,2022-01-01 00:15,-80.5649,34.2836,66.20
BNL,2022-01-01 00:15,-81.3883,33.2578,71.60
EOE,2022-01-01 00:15,-81.6397,34.3093,68.00
DYB,2022-01-01 00:15,-80.2793,33.0634,68.00
FDW,2022-01-01 00:15,-81.1088,34.3155,64.40
AIK,2022-01-01 00:15,-81.6850,33.6494,69.30
35A,2022-01-01 00:15,-81.6412,34.6870,64.80
ARW,2022-01-01 00:15,-80.6344,32.4122,64.40
AQX,2022-01-01 00:15,-81.2703,32.9951,71.60
HVS,2022-01-01 00:15,-80.1192,34.4031,66.20
BBP,2022-01-01 00:15,-79.7344,34.6217,66.20
CQW,2022-01-01 00:15,-79.9570,34.7129,68.00
CKI,2022-01-01 00:15,-79.8570,33.7172,64.40
JZI,2022-01-01 00:15,-80.0029,32.7009,68.00
HXD,2022-01-01 00:15,-80.6975,32.2244,68.00
HYW,2022-01-01 00:15,-79.1222,33.8285,62.60
LKR,2022-01-01 00:15,-80.8544,34.7230,66.20
DCM,2022-01-01 00:15,-81.1958,34.7893,64.40
LQK,2022-01-01 00:15,-82.7029,34.8100,59.90
LRO,2022-01-01 00:15,-79.7829,32.8978,68.00
MAO,2022-01-01 00:15,-79.3347,34.1812,66.20
LUX,2022-01-01 00:15,-81.9472,34.5071,64.40
MKS,2022-01-01 00:15,-80.0362,33.1855,68.00
SPA,2022-01-01 00:15,-81.9565,34.9157,60.80
SMS,2022-01-01 00:15,-80.3613,33.9950,69.80
RBW,2022-01-01 00:15,-80.6406,32.9210,66.20
